round,stage,detail,cid,seconds
7,client_pedersen_commit,Pedersen vector commitment,3,2.541912853717804
7,client_receipt_sign,sign upload receipt,3,0.0005749538540840149
7,client_upload_pack,build upload message,3,0.012121815234422684
7,client_weight_compute,client aggregation weight,5,3.5390257835388184e-05
7,client_local_train,local SGD training,5,3.437959410250187
7,client_model_delta,weighted local model delta,5,0.00041179731488227844
7,client_quant_encode,fixed-point quantization and signed encoding,5,7.285922765731812e-05
7,client_masking,xMask = x + m,5,3.425776958465576e-05
7,client_paillier_encrypt,coordinate-wise Paillier encryption,5,18.518178455531597
7,client_cipher_hash,hash encrypted vector,5,0.023426149040460587
7,client_pedersen_commit,Pedersen vector commitment,5,2.6097630485892296
7,client_receipt_sign,sign upload receipt,5,0.0006065964698791504
7,client_upload_pack,build upload message,5,0.012651130557060242
7,client_weight_compute,client aggregation weight,1,4.2285770177841187e-05
7,client_local_train,local SGD training,1,3.4337782450020313
7,client_model_delta,weighted local model delta,1,0.0003951266407966614
7,client_quant_encode,fixed-point quantization and signed encoding,1,7.297471165657043e-05
7,client_masking,xMask = x + m,1,3.163143992424011e-05
7,client_paillier_encrypt,coordinate-wise Paillier encryption,1,18.65640028566122
7,client_cipher_hash,hash encrypted vector,1,0.023292452096939087
7,client_pedersen_commit,Pedersen vector commitment,1,2.675619166344404
7,client_receipt_sign,sign upload receipt,1,0.0006043650209903717
7,client_upload_pack,build upload message,1,0.011610273271799088
7,client_weight_compute,client aggregation weight,4,5.536526441574097e-05
7,client_local_train,local SGD training,4,3.4539290368556976
7,client_model_delta,weighted local model delta,4,0.0004027709364891052
7,client_quant_encode,fixed-point quantization and signed encoding,4,7.615610957145691e-05
7,client_masking,xMask = x + m,4,3.113970160484314e-05
7,client_paillier_encrypt,coordinate-wise Paillier encryption,4,18.691320285201073
7,client_cipher_hash,hash encrypted vector,4,0.023329205811023712
7,client_pedersen_commit,Pedersen vector commitment,4,2.7063221596181393
7,client_receipt_sign,sign upload receipt,4,0.0005833283066749573
7,client_upload_pack,build upload message,4,0.012098975479602814
8,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,24.985598891973495
8,client_weight_compute,client aggregation weight,3,5.2109360694885254e-05
8,client_local_train,local SGD training,3,3.508395165205002
8,client_model_delta,weighted local model delta,3,0.00038350000977516174
8,client_quant_encode,fixed-point quantization and signed encoding,3,6.939098238945007e-05
8,client_masking,xMask = x + m,3,3.1381845474243164e-05
8,client_paillier_encrypt,coordinate-wise Paillier encryption,3,18.33623306080699
8,client_cipher_hash,hash encrypted vector,3,0.0233110710978508
8,client_pedersen_commit,Pedersen vector commitment,3,2.452055472880602
8,client_receipt_sign,sign upload receipt,3,0.0006201788783073425
8,client_upload_pack,build upload message,3,0.01218167319893837
8,client_weight_compute,client aggregation weight,2,4.1507184505462646e-05
8,client_local_train,local SGD training,2,3.499586895108223
8,client_model_delta,weighted local model delta,2,0.0004093833267688751
8,client_quant_encode,fixed-point quantization and signed encoding,2,7.10897147655487e-05
8,client_masking,xMask = x + m,2,2.9552727937698364e-05
8,client_paillier_encrypt,coordinate-wise Paillier encryption,2,18.3839020319283
8,client_cipher_hash,hash encrypted vector,2,0.023447509855031967
8,client_pedersen_commit,Pedersen vector commitment,2,2.4769502095878124
8,client_receipt_sign,sign upload receipt,2,0.0005999505519866943
8,client_upload_pack,build upload message,2,0.012594543397426605
8,client_weight_compute,client aggregation weight,1,3.523007035255432e-05
8,client_local_train,local SGD training,1,3.403349105268717
8,client_model_delta,weighted local model delta,1,0.00039397552609443665
8,client_quant_encode,fixed-point quantization and signed encoding,1,7.251277565956116e-05
8,client_masking,xMask = x + m,1,3.1635165214538574e-05
8,client_paillier_encrypt,coordinate-wise Paillier encryption,1,18.624826323240995
8,client_cipher_hash,hash encrypted vector,1,0.02355741336941719
8,client_pedersen_commit,Pedersen vector commitment,1,2.650422926992178
8,client_receipt_sign,sign upload receipt,1,0.0006546974182128906
8,client_upload_pack,build upload message,1,0.01161358505487442
8,client_weight_compute,client aggregation weight,5,4.259869456291199e-05
8,client_local_train,local SGD training,5,3.4454188756644726
8,client_model_delta,weighted local model delta,5,0.00039675086736679077
8,client_quant_encode,fixed-point quantization and signed encoding,5,7.040053606033325e-05
8,client_masking,xMask = x + m,5,3.0249357223510742e-05
8,client_paillier_encrypt,coordinate-wise Paillier encryption,5,18.64967505633831
8,client_cipher_hash,hash encrypted vector,5,0.02350926771759987
8,client_pedersen_commit,Pedersen vector commitment,5,2.6653961427509785
8,client_receipt_sign,sign upload receipt,5,0.0006113573908805847
8,client_upload_pack,build upload message,5,0.012625191360712051
8,client_weight_compute,client aggregation weight,4,5.3375959396362305e-05
8,client_local_train,local SGD training,4,3.456802900880575
8,client_model_delta,weighted local model delta,4,0.00040240585803985596
8,client_quant_encode,fixed-point quantization and signed encoding,4,7.255375385284424e-05
8,client_masking,xMask = x + m,4,3.102049231529236e-05
8,client_paillier_encrypt,coordinate-wise Paillier encryption,4,18.683635413646698
8,client_cipher_hash,hash encrypted vector,4,0.02372293546795845
8,client_pedersen_commit,Pedersen vector commitment,4,2.6964070200920105
8,client_receipt_sign,sign upload receipt,4,0.0006256215274333954
8,client_upload_pack,build upload message,4,0.012127473950386047
9,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,25.029468324035406
9,client_weight_compute,client aggregation weight,3,4.054605960845947e-05
9,client_local_train,local SGD training,3,3.482799720019102
9,client_model_delta,weighted local model delta,3,0.0003978312015533447
9,client_quant_encode,fixed-point quantization and signed encoding,3,7.142126560211182e-05
9,client_masking,xMask = x + m,3,3.3233314752578735e-05
9,client_paillier_encrypt,coordinate-wise Paillier encryption,3,18.419623240828514
9,client_cipher_hash,hash encrypted vector,3,0.02349746599793434
9,client_pedersen_commit,Pedersen vector commitment,3,2.5442286133766174
9,client_receipt_sign,sign upload receipt,3,0.0006125904619693756
9,client_upload_pack,build upload message,3,0.012176010757684708
9,client_weight_compute,client aggregation weight,5,3.739073872566223e-05
9,client_local_train,local SGD training,5,3.409823901951313
9,client_model_delta,weighted local model delta,5,0.00038482993841171265
9,client_quant_encode,fixed-point quantization and signed encoding,5,7.439777255058289e-05
9,client_masking,xMask = x + m,5,2.975761890411377e-05
9,client_paillier_encrypt,coordinate-wise Paillier encryption,5,18.48359451070428
9,client_cipher_hash,hash encrypted vector,5,0.023960955440998077
9,client_pedersen_commit,Pedersen vector commitment,5,2.5871631801128387
9,client_receipt_sign,sign upload receipt,5,0.0005892030894756317
9,client_upload_pack,build upload message,5,0.012591194361448288
9,client_weight_compute,client aggregation weight,2,4.2691826820373535e-05
9,client_local_train,local SGD training,2,3.5084346495568752
9,client_model_delta,weighted local model delta,2,0.0003784000873565674
9,client_quant_encode,fixed-point quantization and signed encoding,2,7.41034746170044e-05
9,client_masking,xMask = x + m,2,3.094598650932312e-05
9,client_paillier_encrypt,coordinate-wise Paillier encryption,2,18.444118842482567
9,client_cipher_hash,hash encrypted vector,2,0.0235249362885952
9,client_pedersen_commit,Pedersen vector commitment,2,2.555381279438734
9,client_receipt_sign,sign upload receipt,2,0.0005976036190986633
9,client_upload_pack,build upload message,2,0.012629862874746323
9,client_weight_compute,client aggregation weight,4,5.39831817150116e-05
9,client_local_train,local SGD training,4,3.4487463533878326
9,client_model_delta,weighted local model delta,4,0.0004034899175167084
9,client_quant_encode,fixed-point quantization and signed encoding,4,7.444620132446289e-05
9,client_masking,xMask = x + m,4,3.0077993869781494e-05
