round,stage,detail,cid,seconds
5,client_receipt_sign,sign upload receipt,1,0.0004189000010228483
5,client_upload_pack,build upload message,1,0.023825400001442176
5,client_weight_compute,client aggregation weight,3,6.599999323952943e-06
5,client_local_train,local SGD training,3,0.0999004999994213
5,client_model_delta,weighted local model delta,3,0.0004414999984874157
5,client_quant_encode,fixed-point quantization and signed encoding,3,6.579999899258837e-05
5,client_masking,xMask = x + m,3,2.869999843824189e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,3,29.281204300001264
5,client_cipher_hash,hash encrypted vector,3,0.040938500000265776
5,client_pedersen_commit,Pedersen vector commitment,3,4.152435300000434
5,client_receipt_sign,sign upload receipt,3,0.00043700000060198363
5,client_upload_pack,build upload message,3,0.0208466000003682
5,client_weight_compute,client aggregation weight,4,5.300000339047983e-06
5,client_local_train,local SGD training,4,0.1009818999991694
5,client_model_delta,weighted local model delta,4,0.00030309999965538736
5,client_quant_encode,fixed-point quantization and signed encoding,4,5.3699999625678174e-05
5,client_masking,xMask = x + m,4,1.1400001312722452e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,4,29.374484800000573
5,client_cipher_hash,hash encrypted vector,4,0.04299570000148378
5,client_pedersen_commit,Pedersen vector commitment,4,4.1226064000002225
5,client_receipt_sign,sign upload receipt,4,0.00035990000105812214
5,client_upload_pack,build upload message,4,0.019054899999900954
5,client_weight_compute,client aggregation weight,5,6.000000212225132e-06
5,client_local_train,local SGD training,5,0.1010403000000224
5,client_model_delta,weighted local model delta,5,0.0004898999995930353
5,client_quant_encode,fixed-point quantization and signed encoding,5,7.00999989931006e-05
5,client_masking,xMask = x + m,5,1.6799998775240965e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,5,29.644910199998776
5,client_cipher_hash,hash encrypted vector,5,0.03738119999979972
5,client_pedersen_commit,Pedersen vector commitment,5,4.005604099998891
5,client_receipt_sign,sign upload receipt,5,0.0004589000000123633
5,client_upload_pack,build upload message,5,0.01745370000026014
0,start_experiment_total_wall,total wall-clock time of the CS-driven distributed experiment,,276.73776519999956
